,provider_num,npi,name,address,city,state,zip,fips_county,lat,lon,phone,provider_type_code,category,emergency,upin,pin,region_code,bed_count,clia_lab_number
253,,1205893450,"BETH ISRAEL DEACONESS HOSPITAL-NEEDHAM, INC.",148 CHESTNUT ST,NEEDHAM,MA,24943238,,42.27728075,-71.23665362814043,7814533000,00-09,,,,,,,
268,222316,1831151455,UNIVERSITY OF MA MED CTR-ESRD,55 LAKE AVENUE NORTH,WORCESTER,MA,16550002,27.0,42.2774799,-71.76166994969458,5088560011,00-09,09-01,True,,,1.0,,
283,,1043299001,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH INC,275 SANDWICH ST,PLYMOUTH,MA,23607761,,41.94186605,-70.6455366462985,5087462000,00-09,,,,,,,
307,220116,1730132515,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,STONEHAM,MA,21802445,25.0,42.4863168,-71.0928919,6176365000,00-09,01-01,True,,,1.0,415.0,22D0074723
330,,1851333686,DANA FARBER CANCER INSTITUTE,450 BROOKLINE AVE,WEYMOUTH,MA,21893141,,42.2212188,-70.9391625,6176323000,00-09,,,,220162,,,
373,,1790717650,BRIGHAM & WOMENS HOSPITAL INC,75 FRANCIS ST,WEST BRIDGEWATER,MA,23791542,,42.0219112,-71.019004,6177325500,00-09,,,,,,,
446,,1992778781,WALDEN BEHAVIORAL CARE LLC,10 CAREMATRIX DR,DEDHAM,MA,20266149,,42.2270762,-71.17237295563174,7816476700,00-09,,,,,,,
611,220070,1841290467,MELROSEWAKEFIELD HEALTHCARE,585 LEBANON STREET,WAKEFIELD,MA,18804080,17.0,53.6829541,-1.4967286,7819793000,00-09,01-01,True,,,1.0,538.0,22D0077627
677,,1730121633,NORTH SHORE MEDICAL CENTER INC,81 HIGHLAND AVE,SWAMPSCOTT,MA,19072928,,42.4699241,-70.9171507,9783542065,00-09,,,,22S035,,,
750,220090,1477527497,MILFORD REGIONAL MEDICAL CENTER,14 PROSPECT STREET,UPTON,MA,15681431,27.0,42.1700209025178,-71.59409308099494,5084731190,00-09,01-01,True,,,1.0,121.0,22D0070843
820,220077,1487655064,BAYSTATE MEDICAL CENTER,759 CHESTNUT ST,WARE,MA,10821625,,42.256476,-72.237482,4137940000,00-09,,,,0000185,,,
827,220088,1699767491,NEW ENGLAND BAPTIST HOSPITAL,125 PARKER HILL AVENUE,DEDHAM,MA,20266146,25.0,42.2489143,-71.1755732,6177545800,00-09,01-01,False,,,1.0,118.0,22D0075292
878,220016,1508867391,BAYSTATE FRANKLIN MEDICAL CENTER,164 HIGH ST,GREENFIELD,MA,13012778,,42.595268700000005,-72.59288632376354,4137730211,00-09,,,,,,,
1003,,1174618953,BETH ISRAEL DEACONESS HOSPITAL MILTON INC,199 REEDSDALE RD,MILTON,MA,21863926,,42.2513683,-71.0768393856917,6173131214,00-09,,,220108,,,,
1020,220176,1538131214,ST VINCENT HOSPITAL,123 SUMMER STREET,WORCESTER,MA,16102177,27.0,42.26496835,-71.79655403681465,5083635000,00-09,01-01,True,,,1.0,283.0,22D0687750
1024,220175,1740252592,METROWEST MEDICAL CENTER,115 LINCOLN STREET,WORCESTER,MA,16081216,17.0,42.2768165,-71.795274,5083831000,00-09,01-01,True,,,1.0,360.0,
1099,,1205823879,HENRY HEYWOOD MEMORIAL HOSPITAL,242 GREEN ST,WINCHENDON,MA,14751820,,42.68061,-72.060691,9786323420,00-09,,,220095,,,,
1160,220074,1447275037,"SOUTHCOAST HOSPITAL GROUP, INC",101 PAGE ST,WESTPORT,MA,27904128,,41.1414855,-73.3578955,5089971515,00-09,,,,,,,
1164,22S101,1992737761,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON ST,WESTON,MA,24931546,,41.349223,-83.7947548,6172436000,00-09,,,,,,,
1211,,1578677811,"BRIGHAM AND WOMEN'S FAULKNER HOSPITAL, INC.",1153 CENTRE ST,JAMAICA PLAIN,MA,21303446,,42.3017598,-71.12855793387442,6179837470,00-09,,,,,,,
1234,220075,1639101751,MASSACHUSETTS EYE AND EAR INFIRMARY -,243 CHARLES ST,STONEHAM,MA,21803559,,42.4814675,-71.0924311,6175733089,00-09,,,,220075,,,
1266,224023,1760453328,WESTWOOD PEMBROKE HEALTH SYSTEMS,45 CLAPBOARDTREE ST,PEMBROKE,MA,23594965,,43.14709,-71.457825,7817627764,00-09,,,,,,,
1276,,1477596310,COOLEY DICKINSON HOSPITAL INC,30 LOCUST ST,WORTHINGTON,MA,10989753,,41.029408708333335,-73.83705933333333,4135822000,00-09,,,1477596310,,,,
1331,223030,1912971854,ENCOMPASS HEALTH REHAB HOSPITAL OF WESTERN MASS,222 STATE STREET,LUDLOW,MA,10563437,13.0,42.15547415,-72.47222226666076,4135897581,00-09,01-05,False,,,1.0,53.0,22D0694459
1356,220171,1558392563,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",41 & 45 MALL ROAD,PEABODY,MA,19602901,17.0,42.5278731,-70.9286609,7817445100,00-09,01-01,True,,,1.0,327.0,22D0677827
1472,220024,1750395737,HOLYOKE MEDICAL CENTER,575 BEECH ST,WESTFIELD,MA,10851832,,43.8893652,-89.4802052,4135342567,00-09,,,,,,,
1480,,1134227606,SOUTH SHORE HOSPITAL INC.,55 FOGG ROAD,WEYMOUTH,MA,21893141,,42.1755398,-70.9539153674405,7813408000,00-09,,,,,,,
1530,22S071,1023049236,THE GENERAL HOSPITAL CORPORATION,55 FRUIT ST,WALTHAM,MA,2451,,42.3756401,-71.2358004,6177262000,00-09,,,,0004332,,,
1559,22S175,1700858560,"VHS ACQUISITION SUBSIDIARY NUMBER 9, INC.",115 LINCOLN ST,NATICK,MA,17607700,,42.2843753,-71.3441395,5086507000,00-09,,,,,,,
1578,223034,1780600825,SPAULDING REHABILITATION HOSPITAL,300 FIRST AVENUE,WESTBOROUGH,MA,15812831,25.0,42.2694308,-71.6129907,6177206400,00-09,01-05,False,,,1.0,132.0,
1598,,1336106806,FALMOUTH HOSPITAL ASSOCIATION INC,100 TER HEUN DR,SANDWICH,MA,25632377,,41.7579043,-70.4968152,5084573528,00-09,,,,,,,
1654,,1730106162,STURDY MEMORIAL HOSPITAL INC,211 PARK ST,ATTLEBORO,MA,27033143,,41.9419187,-71.2752081695297,5082368110,00-09,,,,,,,
1690,220033,1316917941,BEVERLY HOSPITAL CORPORATION,85 HERRICK ST,SUITE # 201,MA,1918,,39.8426648,-88.9564672,9789223000,00-09,,,,,,,
1728,22S176,1326010406,VHS ACQUISITION SUBSIDIARY NUMBER 7 INC,123 SUMMER ST,WORCESTER,MA,16081216,,42.26496835,-71.79655403681465,5083636211,00-09,,,,,,,
1833,220074,1922024835,"SOUTHCOAST HOSPITAL GROUP, INC",363 HIGHLAND AVENUE,WAREHAM,MA,25715011,5.0,41.745636,-70.658192,5086793131,00-09,01-01,True,,,1.0,695.0,
1834,22007402,1306871223,SOUTHCOAST HOSPITALS GROUP INC,363 HIGHLAND AVE,FALL RIVER,MA,27205246,,41.7093779,-71.1460783680883,5086793131,00-09,,,,,,,
1921,220086,1548202641,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVE,NEEDHAM,MA,24922505,,31.9868295,-88.33308822099423,6176671961,00-09,,,,,,,
1980,22S077,1497756282,BAYSTATE MEDICAL CENTER INC.,759 CHESTNUT ST,SPRINGFIELD,MA,11991001,,42.12152205,-72.60300615153007,4137940000,00-09,,,,,,,
2163,,1093714412,"FIRST PSYCHIATRIC PLANNERS, INC",300 SOUTH ST,WOBURN,MA,18014979,,42.473347,-71.144086,6174690300,00-09,,,,,,,
2181,220177,1447214622,NANTUCKET COTTAGE HOSPITAL,57 PROSPECT ST,NANTUCKET,MA,25542799,,41.27514065,-70.10108985970798,5088258100,00-09,,,,,,,
2193,,1750381281,LAWRENCE GENERAL HOSPITAL,1 GENERAL ST,LAWRENCE,MA,18412961,,42.7097143,-71.15007700778098,9786834000,00-09,,,,220010,,,
2243,,1710087127,CHILDREN'S HOSPITAL CORPORATION,300 LONGWOOD AVE,WALTHAM,MA,24532741,,42.3756401,-71.2358004,6173554831,00-09,,,,222312,,,
2518,22T074,1750301636,SOUTHCOAST HOSPITALS GROUP INC,363 HIGHLAND AVE,FALL RIVER,MA,27203703,,41.7093779,-71.1460783680883,5086793131,00-09,,,,,,,
2543,,1538185475,THE MCLEAN HOSPITAL CORPORATION,115 MILL ST,PETERSHAM,MA,13669503,,42.4865962,-72.1893057,6178553316,00-09,,,,,,,
2554,,1407804669,THE LOWELL GENERAL HOSPITAL,295 VARNUM AVE,WESTFORD,MA,18863513,,42.5792583,-71.4378411,9789376000,00-09,,,220063,,,,
2583,223032,1265489736,SPAULDING REHABILITATION HOSPITAL - CAPE COD,311 SERVICE ROAD,PLYMOUTH,MA,23604887,1.0,45.045303,-93.401695,5088334262,00-09,01-05,False,,,1.0,60.0,22D0907335
2603,220002,1689670259,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,WALTHAM,MA,2452,17.0,42.3756401,-71.2358004,6174923500,00-09,01-01,True,,,1.0,217.0,22D0076138
2611,222003,1871680496,TEWKSBURY HOSPITAL,365 EAST ST,TEWKSBURY,MA,18761950,,42.6069472,-71.2180803,9788517321,00-09,,,,,,,
2674,,1396738159,MARLBOROUGH HOSPITAL CORP,157 UNION ST,SOUTHBOROUGH,MA,17721215,,42.3056501,-71.5245087,5084815000,00-09,,,,,,,
2746,224028,1700964947,DR JOHN C CORRIGAN MENTAL HEALTH CENTER,49 HILLSIDE STREET,FALL RIVER,MA,27205211,5.0,41.707406500000005,-71.14593659462452,5082357600,00-09,01-04,False,,,1.0,16.0,22D0898144
2774,225696,1992779482,ANNA JAQUES HOSPITAL SUBACUTE UNIT,25 HIGHLAND AVENUE,NEWBURYPORT,MA,19503872,9.0,42.81369325,-70.89091645747592,9784631056,00-09,04-01,True,,,1.0,20.0,
2779,225696,1619061769,ANNA JAQUES HOSPITAL SUBACUTE UNIT,25 HIGHLAND AVE,NEWBURYPORT,MA,19503867,,42.81369325,-70.89091645747592,9784631000,00-09,,,,,,,
2891,220031,1346218294,BOSTON MEDICAL CENTER CORPORATION-,88 EAST NEWTON STREET,WINTHROP,MA,21522715,,42.3750976,-70.982827,6176388000,00-09,,,,,,,
2935,22S101,1992737761,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON ST,NEWTON,MA,24621699,,42.33132435,-71.24519969081618,6172436000,00-09,,,,,,,
2948,,1790780047,HARRINGTON MEMORIAL HOSPITAL INC,100 SOUTH STREET,WEBSTER,MA,15701509,,33.535831,-89.130117,5087659771,00-09,,,,,,,
2977,220046,1295765261,BERKSHIRE MEDICAL CENTER INC - 1,725 NORTH ST,PITTSFIELD,MA,12015493,,42.4600752,-73.2492795834909,4134472000,00-09,,,,,,,
2979,22S046,1659436996,BERKSHIRE MEDICAL CENTER INC,725 NORTH ST,PITTSFIELD,MA,12014109,,42.4600752,-73.2492795834909,4134472000,00-09,,,,,,,
2980,22T046,1124184494,BERKSHIRE MEDICAL CENTER INC,725 NORTH ST,PITTSFIELD,MA,12014109,,42.4600752,-73.2492795834909,4134472000,00-09,,,,,,,
3038,220066,1750360798,MERCY MEDICAL CTR,271 CAREW ST,SPRINGFIELD,MA,11043581,,42.11597825,-72.59301656598424,4137489000,00-09,,,,,,,
3041,220066,1629062906,MERCY MEDICAL CTR,1233 MAIN ST,HOLYOKE,MA,10405381,,42.16578055,-72.63389634691956,4135365111,00-09,,,,,,,
3049,000529001,1083776140,HOLYOKE MEDICAL CENTER INC,575 BEECH ST,HOLYOKE,MA,10402223,,42.20105435,-72.628169560868,4135342805,00-09,,,22S024,220024,,,
3131,,1487603585,CAMBRIDGE PUBLIC HEALTH COMMISSION,1493 CAMBRIDGE ST,SOMERVILLE,MA,21452935,,42.3875968,-71.0994968,6176651000,00-09,,,,M20235,,,
3159,,1093744286,METRO WEST REHAB CORP,150 FLANDERS RD,WESTBOROUGH,MA,15811017,,42.2770724,-71.5679154706427,5088712000,00-09,,,,222048,,,
3175,222007,1437155967,HEBREW REHABILITATION CENTER,1200 CENTRE ST,ROSLINDALE,MA,21311000,,42.29768,-71.130463,6173258000,00-09,,,,,,,
3212,220105,1790740777,WINCHESTER HOSPITAL,41 HIGHLAND AVENUE,WOODBURN,MA,18011972,17.0,45.143731,-122.8553725,7817299000,00-09,01-01,True,,0005018,1.0,189.0,22D0072458
3333,,1447348313,CAMBRIDGE PUBLIC HEALTH COMMISSION,1493 CAMBRIDGE ST,SOMERVILLE,MA,21431408,,42.3875968,-71.0994968,6176651000,00-09,,,,,,,
3545,,1023284924,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH INC,275 SANDWICH ST,PLYMOUTH,MA,23602183,,41.94186605,-70.6455366462985,5087462000,00-09,,,,22-S060,,,
3679,,1063431286,"BROCKTON HOSPITAL, INC.",680 CENTRE ST,RAYNHAM,MA,2767,,41.9487118,-71.0731008,5089417000,00-09,,,,220052,,,
3736,,1457685299,HENRY HEYWOOD MEMORIAL HOSPITAL,242 GREEN ST,GARDNER,MA,14401336,,42.58685735,-71.98748072431209,9786323420,00-09,,,22S095,,,,
3769,224040,1285759464,DR SOLOMON CARTER FULLER MENTAL HEALTH CENTER,85 E NEWTON ST,BOSTON,MA,21183553,,42.3362771,-71.07085295687423,6176268860,00-09,,,,,,,
3919,,1033121025,"BRIGHAM AND WOMEN'S FAULKNER HOSPITAL, INC.",1153 CENTRE ST,BOSTON,MA,21303446,,42.3017598,-71.12855793387442,6179837470,00-09,,,,,,,
4032,,1326006073,CAPE COD HOSPITAL INC,27 PARK ST,HYANNIS,MA,26015230,,41.65363635,-70.27352219234834,5087711800,00-09,,,,,,,
4122,222000,1023240520,SPAULDING HOSPITAL FOR CONTINUING MED CARE-CAMB,1575 CAMBRIDGE ST,CAMBRIDGE,MA,21384308,,42.37520955,-71.10711344152975,6178764344,00-09,,,,,,,
4250,220030,1962410233,BAYSTATE WING HOSPITAL AND MEDICAL CENTERS,40 WRIGHT ST,WARE,MA,10821625,,31.1727229,-82.4829338,4132837651,00-09,,,,,,,
4254,22S030,1992880736,BAYSTATE WING HOSPITAL CORPORATION,40 WRIGHT ST,PALMER,MA,10691138,,42.16934095,-72.34120457065711,4132837651,00-09,,,,,,,
4273,,1700816048,BAYSTATE NOBLE HOSPITAL CORPORATION,115 W SILVER ST,WESTFIELD,MA,10853628,,42.1178811,-72.75935246865802,4135682811,00-09,,,,220065,,,
4275,,1174542013,FRANCISCAN HOSPITAL FOR CHILDREN INC,30 WARREN ST,BOSTON,MA,21353602,,42.3501483,-71.14393324457691,6172543800,00-09,,,,,,,
4299,224021,1316917222,ARBOUR-FULLER HOSPITAL,200 MAY ST,SOUTH ATTLEBORO,MA,27035520,,41.924394750000005,-71.36076410900014,5087618500,00-09,,,,,,,
4317,,1245272012,BAYSTATE NOBLE HOSPITAL CORPORATION,115 W SILVER ST,WESTFIELD,MA,10853678,,42.1178811,-72.75935246865802,4135682811,00-09,,,,22T065,,,
4364,224013,1821068818,"ARBOUR HOSPITAL, THE",49 ROBINWOOD AVENUE,QUINCY,MA,21698130,25.0,42.2509914,-71.0037374,6175224400,00-09,01-04,False,,,1.0,118.0,22D0708950
4406,,1528195724,THE SHRINERS HOSPITAL FOR CHILDREN,516 CAREW ST,SPRINGFIELD,MA,11042330,,42.12133575,-72.59217953646302,4137872000,00-09,,,,,,,
4550,220036,1720390289,ST ELIZABETH'S MEDICAL CENTER,736 CAMBRIDGE STREET,DORCHESTER,MA,21245615,25.0,38.3930694,-76.0995677,6177893000,00-09,01-01,True,,,1.0,252.0,22D0689139
4551,220111,1881906337,GOOD SAMARITAN MEDICAL CENTER,235 NORTH PEARL STREET,STOUGHTON,MA,20723396,23.0,42.1004556,-71.0668392,5084273000,00-09,01-01,True,,,1.0,231.0,22D0704356
4553,220020,1932411493,SAINT ANNE'S HOSPITAL,795 MIDDLE ST,SWANSEA,MA,27774114,,41.730919,-71.208117,5086745600,00-09,,,,,,,
4556,220017,1427360981,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,QUINCY,MA,21691870,25.0,42.2509914,-71.0037374,6175062000,00-09,01-01,True,,,1.0,135.0,22D0075390
4576,220126,1952613416,NORWOOD HOSPITAL,800 WASHINGTON STREET,NORWOOD,MA,20623489,21.0,42.1886973,-71.2005241,7817694000,00-09,01-01,True,,,1.0,263.0,22D0074318
4582,220080,1033421664,HOLY FAMILY HOSPITAL,70 EAST ST,METHUEN,MA,18445883,,42.7285558,-71.16833738237946,9786870151,00-09,,,,,,,
4585,,1922103357,EMERSON HOSPITAL,133 OLD ROAD TO 9 ACRE COR,WESTFORD,MA,18863198,,42.5792583,-71.4378411,9782873226,00-09,,,,,,,
4696,220098,1477859254,NASHOBA VALLEY MEDICAL CENTER,200 GROTON ROAD,GROTON,MA,14502056,17.0,42.57735215,-71.57414587343038,9787849000,00-09,01-01,True,,,1.0,57.0,
4757,,1013995133,UMASS MEMORIAL HEALTHALLIANCE CLINTON HOSPITAL INC,60 HOSPITAL RD,LEOMINSTER,MA,14533290,,42.54031915,-71.76312990486304,9784662000,00-09,,,,,,,
4801,220073,1598053472,MORTON HOSPITAL,88 WASHINGTON ST,TAUNTON,MA,27802465,,41.9062805,-71.09518121351795,5088287000,00-09,,,,,,,
4802,,1376822676,"MORTON HOSPITAL, A STEWARD FAMILY HOSPITAL, INC.",88 WASHINGTON ST,TAUNTON,MA,27802465,,41.9062805,-71.09518121351795,6174194772,00-09,,,,,,,
4835,,1114053782,THE SHRINERS HOSPITAL FOR CHILDREN,51 BLOSSOM ST,BOSTON,MA,21142699,,42.36305545,-71.06643399281765,1617722300,00-09,,,,,,,
5077,224032,1306903042,WORCESTER RECOVERY CENTER AND HOSPITAL,309 BELMONT STREET,WORCESTER,MA,16041059,27.0,42.2802335,-71.7694812367883,5087524681,00-09,01-04,False,,,1.0,166.0,
5294,223026,1215364682,ENCOMPASS HEALTH REHABILITATION HOSP OF NEW ENGLAN,2 REHABILITATION WAY,WOBURN,MA,18016003,,42.46352265,-71.161925472006,7819355050,00-09,,,,,,,
5295,223027,1962839316,ENCOMPASS HEALTH BRAINTREE HOSPITAL OF BRAINTREE,250 POND STREET,FRAMINGHAM,MA,17014592,21.0,42.2838619,-71.4093719,7818485353,00-09,01-05,False,,,1.0,187.0,
5321,,1700216850,"NASHOBA VALLEY MEDICAL CENTER, A STEWARD FAMILY HOSPITAL INC",200 GROTON RD,AYER,MA,14321168,,42.57735215,-71.57414587343038,9787849000,00-09,,,,,,,
5327,22204600,1699192203,VIBRA HOSPITAL OF WESTERN MASSACHUSETTS LLC,111 HUNTOON MEMORIAL HWY,ROCHDALE,MA,15421305,,42.2020225,-71.89891616754682,5088926000,00-09,,,,,,,
5436,22S080,1245543032,STEWARD HOLY FAMILY HOSPITAL INC,70 EAST ST,HAVERHILL,MA,18306700,,42.7777829,-71.0767724,9786870151,00-09,,,,,,,
5595,,1275920001,NORTHEAST BEHAVIORAL HEALTH LLC,581 FAUNCE CORNER RD,DARTMOUTH,MA,27471242,,41.676111381167445,-70.98788528176077,5082079800,00-09,,,,,,,
5604,22S071,1023049236,THE GENERAL HOSPITAL CORPORATION,55 FRUIT ST,BOSTON,MA,21142129,,42.36286045,-71.06875296664998,6177262000,00-09,,,,0004332,,,
5837,,1063876241,DEVENS TREATMENT & RECOVERY CENTER LLC,85 PATTON RD,DEVENS,MA,14344401,,42.5304204,-71.61505519305638,9786155200,00-09,,,,,,,
5884,,1053762484,CURAHEALTH STOUGHTON LLC,909 SUMNER ST,STOUGHTON,MA,20723396,,42.1005097,-71.0830269025407,7812978200,00-09,,,,,,,
5957,22S070,1891835351,"MELROSEWAKEFIELD HEALTHCARE, INC",170 GOVERNORS AVE,MELROSE,MA,21763225,,42.4564323,-71.064182,7819793050,00-09,,,,,,,
5958,22Z301,1750448767,NANTUCKET COTTAGE HOSPITAL,57 PROSPECT ST,NANTUCKET,MA,25542799,,41.27514065,-70.10108985970798,5088258100,00-09,,,,,,,
5972,220086,1548202641,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVE,BOSTON,MA,22155400,,42.3397554,-71.10492182209876,6176671961,00-09,,,,,,,
6107,,1851477491,THE COMMONWEALTH OF MASSACHUSETTS,830 COUNTY RD,POCASSET,MA,25592110,,35.1936734,-97.9525456,5085649600,00-09,,,,,,,
6108,,1861901910,"WESTBOROUGH BEHAVIORAL HEALTHCARE HOSPITAL, LLC",300 FRIBERG PKWY,WESTBOROUGH,MA,15813900,,42.28350315,-71.58027718702151,5083296300,00-09,,,,,,,
6160,22S111,1164735957,"STEWARD GOOD SAMARITAN MEDICAL CENTER, INC.",235 N PEARL ST,BROCKTON,MA,23011794,,42.09805395,-71.0609587194362,5084273000,00-09,,,,,,,
6161,22S001,1285171934,UMASS MEMORIAL HEALTHALLIANCE CLINTON HOSPITAL INC,201 HIGHLAND ST,CLINTON,MA,15101037,,42.42738865,-71.69329092351188,9783683000,00-09,,,,,,,
6222,22S015,1871512814,COOLEY DICKINSON HOSPITAL INC,30 LOCUST ST,NORTHAMPTON,MA,10602052,,42.33032115,-72.65330802608176,4135822000,00-09,,,,,,,
6238,22S036,1992018782,STEWARD ST ELIZABETHS MEDICAL CENTER OF BOSTON INC,736 CAMBRIDGE ST,DORCHESTER,MA,21245615,,38.3930694,-76.0995677,6177893000,00-09,,,,,,,
6269,223033,1407827710,WHITTIER REHABILTATION HOSPITAL,150 FLANDERS ROAD,LYNN,MA,19042915,27.0,42.466763,-70.9494939,5088712063,00-09,01-05,False,,,1.0,88.0,
6296,,1346728748,"T MASSACHUSETTS, LLC",100 CENTURY DR,WORCESTER,MA,16061244,,42.3138278,-71.7707002,7743667000,00-09,,,,,,,
6318,,1023580479,WP ACQUISITION SUB LLC,76 SUMMER ST,HAVERHILL,MA,18305814,,42.7786873,-71.07306505177553,6158616000,00-09,,,,,,,
6349,22S017,1609189380,"STEWARD CARNEY HOSPITAL, INC.",2100 DORCHESTER AVE,DORCHESTER,MA,21245615,,38.3930694,-76.0995677,6172964000,00-09,,,,,,,
6439,,1679874481,BRN CORPORATION,145 WARD HILL AVE,BRADFORD,MA,18356928,,53.7944229,-1.7519186,9783728000,00-09,,,,,,,
6440,,1760783575,METRO WEST REHAB CORP,150 FLANDERS RD,WESTBOROUGH,MA,15811017,,42.2770724,-71.5679154706427,5088712000,00-09,,,,,,,
6469,22S163,1689760092,UMASS MEMORIAL MEDICAL CENTER INC,55 LAKE AVE N,WORCESTER,MA,16550002,,42.2774799,-71.76166994969458,5083340254,00-09,,,,,,,
6596,,1689695405,"BROCKTON HOSPITAL, INC.",680 CENTRE ST,BROCKTON,MA,23023308,,42.0872752,-70.9910738855076,5089417000,00-09,,,,22S052,,,
6843,22S020,1629381413,STEWARD ST. ANNES HOSPITAL CORPORATION,795 MIDDLE ST,STOUGHTON,MA,20721829,,42.1252079,-71.1022015,5086745600,00-09,,,,,,,
7161,,1215062633,EMERSON HOSPITAL,133 OLD ROAD TO 9 ACRE COR,CONCORD,MA,17422131,,43.207178,-71.537476,9782871400,00-09,,,,,,,
7168,,1417972647,NORTH SHORE MEDICAL CENTER INC,81 HIGHLAND AVE,SALEM,MA,19702714,,42.5112107,-70.90516241826194,9787410522,00-09,,,,22S035,,,
7173,22S002,1649254491,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN ST,CAMBRIDGE,MA,21385502,,42.3741033,-71.13417575971958,6174923500,00-09,,,,,,,
7205,,1659684348,STEWARD NORWOOD HOSPITAL INC,800 WASHINGTON ST,NORWOOD,MA,20623487,,42.1886973,-71.2005241,7817692950,00-09,,,,22-S126,,,
7207,,1922101724,THE COMMONWEALTH OF MASSACHUSETTS,60 HODGES AVE,TAUNTON,MA,27803034,,41.91158935,-71.10129620180315,5089773110,00-09,,,,,,,
7208,,1053350306,"TUFTS MEDICAL CENTER, INC",750 WASHINGTON ST,BOSTON,MA,21111552,,42.3499038,-71.0631836,6176365442,00-09,,,,,,,
7231,22-2043,1164477055,"4499 ACUSHNET AVENUE OPERATING COMPANY, LLC",4499 ACUSHNET AVE,NEW BEDFORD,MA,27454707,,41.74026055,-70.9450945705336,5089956900,00-09,,,,,,,
7448,220002,1689670259,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,2138,17.0,42.3741033,-71.13417575971958,6174923500,00-09,01-01,True,,,1.0,217.0,22D0076138
7449,220017,1427360981,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,BOSTON,MA,2124,25.0,42.3554334,-71.060511,6175062000,00-09,01-01,True,,,1.0,135.0,22D0075390
7450,220036,1720390289,ST ELIZABETH'S MEDICAL CENTER,736 CAMBRIDGE STREET,BRIGHTON,MA,2135,25.0,42.34864995,-71.14799584850206,6177893000,00-09,01-01,True,,,1.0,252.0,22D0689139
7451,220070,1841290467,MELROSEWAKEFIELD HEALTHCARE,585 LEBANON STREET,MELROSE,MA,2176,17.0,42.46004115,-71.06112637672865,7819793000,00-09,01-01,True,,,1.0,538.0,22D0077627
7452,220074,1922024835,"SOUTHCOAST HOSPITAL GROUP, INC",363 HIGHLAND AVENUE,FALL RIVER,MA,2720,5.0,41.7093779,-71.1460783680883,5086793131,00-09,01-01,True,,,1.0,695.0,
